,doc_id,generated_question,generated_answer,is_markdown,context_batch
0,572.0,Какое полное и сокращенное фирменное наименование у банка РМП (АО)?,"Полное фирменное наименование: Банк развития и модернизации промышленности (акционерное общество), сокращенное фирменное наименование: Банк РМП (АО)",0.0,"Банковский сектор    Информация о кредитных организациях     Банк развития и модернизации промышленности (акционерное общество)      Полное фирменное наименование  Банк развития и модернизации промышленности (акционерное общество)    Сокращённое фирменное наименование  Банк РМП (АО)    Регистрационный номер  2574    Дата регистрации Банком России  12.11.1993    Основной государственный регистрационный номер  1027739153573 (05.09.2002)                            БИК  044525583    Адрес из устава  123557, г. Москва, ул. Климашкина, д. 21, стр. 1    Адрес фактический  123557, г. Москва, ул. Климашкина, д. 21, стр. 1    Телефон  (495) 737-86-43, (495) 737-86-44, (495) 916-25-45, (495) 916-28-78    Устав                          Дата согласования последней редакции устава:   30.10.2020    Уставный капитал  90 000 000,00 руб., дата изменения величины уставного капитала: 30.11.2000                        Лицензия (дата выдачи/последней замены)                     Банками с базовой лицензией являются банки, имеющие лицензию, в названии которой присутствует слово «базовая». Все остальные действующие банки являются банками с универсальной лицензией   Базовая лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте (с правом привлечения во вклады денежных средств физических лиц) без права на осуществление банковских операций с драгоценными металлами (12.11.2020)  Лицензии                                                 Участие в системе страхования вкладов  Да    Фирменное наименование на английском языке  Industry development and modernization bank (Joint-Stock Company); Bank IDM (JSC)     Информационные сайты и страницы организации в социальных сетях    https://www.bankrmp.ru                        Информация о подразделениях                       Дополнительные офисы  4        Данные оборотной ведомости по счетам бухгалтерского учёта  Форма 101   2024 год          2023 год          2022 год          2021 год          2020 год          2019 год          2018 год          2017 год          2016 год          2015 год          2014 год          2013 год          2012 год          2011 год          2010 год          2009 год          2008 год          2007 год                               на 1 января                     на 1 февраля                      на 1 июня                     на 1 июля                     на"
1,572.0,Какие данные представлены в отчете о финансовых результатах формы 102 за 2024 год?,"В отчете о финансовых результатах формы 102 за 2024 год представлены данные на 1 февраля, 1 марта, 1 апреля, 1 мая, 1 июня, 1 июля, 1 августа, 1 сентября, 1 октября, 1 ноября, 1 декабря, а также на 1 января следующего года.",0.0,"на 1 февраля                     на 1 марта                     на 1 апреля                     на 1 мая                     на 1 июня                     на 1 июля                     на 1 августа                     на 1 сентября                     на 1 октября                     на 1 ноября                     на 1 декабря                      на 1 января                     на 1 февраля                     на 1 марта                     на 1 апреля                     на 1 мая                     на 1 июня                     на 1 июля                     на 1 августа                     на 1 сентября                     на 1 октября                     на 1 ноября                     на 1 декабря                      на 1 января                     на 1 февраля                     на 1 марта                     на 1 апреля                     на 1 мая                     на 1 июня                     на 1 июля                     на 1 августа                     на 1 сентября                     на 1 октября                     на 1 ноября                     на 1 декабря Ещё + Свернуть -  Отчёт о финансовых результатах  Форма 102, квартальная   2024 год          2023 год          2022 год          2021 год          2020 год          2019 год          2018 год          2017 год          2016 год          2015 год          2014 год          2013 год          2012 год          2011 год          2010 год          2009 год          2008 год          2007 год                               на 1 января                      на 1 июля                     на 1 октября                      на 1 января                      на 1 января                     на 1 апреля                     на 1 июля                     на 1 октября                      на 1 января                     на 1 апреля                     на 1 июля                     на 1 октября                      на 1 января                     на 1 апреля                     на 1 июля                     на 1 октября                      на 1 января                     на 1 апреля                     на 1 июля                     на 1 октября                      на 1 января                     на 1 апреля                     на 1 июля                     на 1 октября                      на 1 января                     на 1 апреля                     на 1 июля                     на 1 октября                      на 1 января                     на 1 апреля                     на 1 июля                     на 1 октября                      на 1"
2,572.0,Какие документы содержат информацию об обязательных нормативах и других показателях деятельности кредитной организации?,Информация об обязательных нормативах и других показателях деятельности кредитной организации содержится в форме 135.,0.0,134   2015 год          2014 год          2013 год          2012 год          2011 год          2010 год                       на 1 января              на 1 января             на 1 февраля             на 1 марта             на 1 апреля             на 1 мая             на 1 июня             на 1 июля             на 1 августа             на 1 сентября             на 1 октября             на 1 ноября             на 1 декабря              на 1 января             на 1 февраля             на 1 марта             на 1 апреля             на 1 мая             на 1 июня             на 1 июля             на 1 августа             на 1 сентября             на 1 октября             на 1 ноября             на 1 декабря              на 1 января             на 1 февраля             на 1 марта             на 1 апреля             на 1 мая             на 1 июня             на 1 июля             на 1 августа             на 1 сентября             на 1 октября             на 1 ноября             на 1 декабря              на 1 января             на 1 февраля             на 1 марта             на 1 апреля             на 1 мая             на 1 июня             на 1 июля             на 1 августа             на 1 сентября             на 1 октября             на 1 ноября             на 1 декабря              на 1 июня             на 1 июля             на 1 августа             на 1 сентября             на 1 октября             на 1 ноября             на 1 декабря Ещё + Свернуть -  Информация об обязательных нормативах и о других показателях деятельности кредитной организации  Форма 135   2024 год          2023 год          2022 год          2021 год          2020 год          2019 год          2018 год          2017 год          2016 год          2015 год          2014 год          2013 год          2012 год          2011 год          2010 год                               на 1 января                     на 1 февраля                      на 1 июня                     на 1 июля                     на 1 августа                     на 1 сентября                     на 1 октября                     на
3,572.0,Какие документы включены в годовую (промежуточную) отчётность?,"В годовую (промежуточную) отчётность включаются баланс, отчет о прибылях и убытках.",0.0,"октября                     на 1 ноября                     на 1 декабря                      на 1 января                     на 1 февраля                     на 1 марта                     на 1 апреля                     на 1 мая                     на 1 июня                     на 1 июля                     на 1 августа                     на 1 сентября                     на 1 октября                     на 1 ноября                     на 1 декабря                      на 1 января                     на 1 февраля                     на 1 марта                     на 1 апреля                     на 1 мая                     на 1 июня                     на 1 июля                     на 1 августа                     на 1 сентября                     на 1 октября                     на 1 ноября                     на 1 декабря                      на 1 января                     на 1 февраля                     на 1 марта                     на 1 апреля                     на 1 мая                     на 1 июня                     на 1 июля                     на 1 августа                     на 1 сентября                     на 1 октября                     на 1 ноября                     на 1 декабря                      на 1 января                     на 1 февраля                     на 1 марта                     на 1 апреля                     на 1 мая                     на 1 июня                     на 1 июля                     на 1 августа                     на 1 сентября                     на 1 октября                     на 1 ноября                     на 1 декабря                      на 1 января                     на 1 февраля                     на 1 марта                     на 1 апреля                     на 1 мая                     на 1 июня                     на 1 июля                     на 1 августа                     на 1 сентября                     на 1 октября                     на 1 ноября                     на 1 декабря                      на 1 июня                     на 1 июля                     на 1 августа                     на 1 сентября                     на 1 октября                     на 1 ноября                     на 1 декабря Ещё + Свернуть -  Годовая (промежуточная) отчётность   2023 2022 2021 2020 2019 2018 2017 2016 2015 2014 2013 2012 2011 2010 2009 2008 2007 2006 2005 2004 2003 2002 2001 2000 1999 1998, баланс                 1998, отчет о прибылях и убытках                 1997, баланс"
4,312.0,Какие основные направления развития финансовых технологий описаны на период 2018-2020 годов?,"В тексте описаны основные направления развития финансовых технологий, такие как правовое регулирование, развитие цифровых технологий на финансовом рынке, создание и развитие финансовой инфраструктуры, переход на электронное взаимодействие.",0.0,"ОснОвные направления  
развития финансОвых  
технОлОгий на периОд  
2018 – 2020 годов

МОсква



© Центральный банк Российской Федерации, 2018



сОдержание
введение ............................................................................................................................................... 2

1. предпОсылки и тренды ............................................................................................................. 3

2. Цели и ОснОвные направления деятельнОсти Банка рОссии  
в ОБласти финансОвых технОлОгий .................................................................................. 5

3. ОснОвные направления ............................................................................................................ 6

1. Правовое регулирование ..................................................................................................................6

2. Развитие цифровых технологий на финансовом рынке ................................................................6

2.1. Исследование, анализ и разработка предложений по применению  
финансовых технологий .............................................................................................................................. 6

2.1.1. Исследование, анализ и разработка предложений по применению RegTech .................................................. 6

2.1.2. Исследование, анализ и разработка предложений по применению SupTech .................................................. 7

2.1.3. – 2.1.8. Исследование, анализ и разработка предложений по применению  
иных финансовых технологий ............................................................................................................................... 7

2.2. Создание и развитие финансовой инфраструктуры ............................................................................... 8

2.2.1. Платформа для удаленной идентификации ......................................................................................................... 8

2.2.2. Платформа быстрых платежей ............................................................................................................................. 9

2.2.3. Платформа-маркетплейс для финансовых услуг и продуктов ......................................................................... 10

2.2.4. Платформа для регистрации финансовых сделок ............................................................................................ 10

2.2.5. Перспективная платежная система Банка России ............................................................................................ 10

2.2.6. Национальная система платежных карт ............................................................................................................ 11

2.2.7. Система передачи финансовых сообщений ...................................................................................................... 11

2.2.8. Сквозной идентификатор клиента ...................................................................................................................... 11

2.2.9. Создание платформы для облачных сервисов .................................................................................................. 12

2.2.10. Платформа на основе технологии распределенных реестров ....................................................................... 12

2.2.11. Элементы новой цифровой финансовой инфраструктуры ............................................................................ 12

3. Переход на электронное взаимодействие ....................................................................................14

3.1. Расширение доступа финансовых организаций к государственным  
информационным ресурсам ..................................................................................................................... 14

3.2. Электронный документооборот между Банком России, участниками  
финансового рынка, физическими и юридическими лицами ............................................................... 15

3.3. Хранение и использование юридически значимых электронных документов,  
цифровизация документов на бумажном носителе ............................................................................... 15"
5,312.0,Какие основные цели и задачи определяются в документе 'Основные направления развития финансовых технологий на период 2018 – 2020 годов'?,"Документ 'Основные направления развития финансовых технологий на период 2018 – 2020 годов' определяет основные цели и задачи развития инновационных технологий на финансовом рынке Российской Федерации и в Банке России, включая поддержку инноваций и обеспечение доступности финансовых продуктов и услуг для населения и бизнеса.",0.0,"3.3. Хранение и использование юридически значимых электронных документов,  
цифровизация документов на бумажном носителе ............................................................................... 15

3.4. Расширение использования простой и усиленной квалифицированных  
электронных подписей .............................................................................................................................. 16

4. Создание регулятивной площадки Банка России ........................................................................16

5. Взаимодействие в рамках Евразийского экономического союза (ЕАЭС) .................................17

6. Обеспечение безопасности и устойчивости при применении  
финансовых технологий .................................................................................................................18

7. Развитие кадров в сфере финансовых технологий .....................................................................18

4. ключевые пОказатели эффективнОсти реализаЦии  
ОснОвных направлений .......................................................................................................... 19



2
ОснОвные направления  
развития финансОвых технОлОгий  
на периОд 2018 – 2020 гОдОв

введение

Основные направления развития финансовых технологий на период 2018 – 2020 годов 
(далее  – Основные направления) определяют основные цели и  задачи развития инно-
вационных технологий на финансовом рынке Российской Федерации и в Банке России, 
среди которых поддержка инноваций и обеспечение доступности финансовых продуктов 
и услуг для населения и бизнеса, что в перспективе будет способствовать устойчивому 
развитию и повышению конкурентоспособности финансового сектора.

Основные направления включают описание предпосылок и трендов в сфере развития 
цифровых финансовых услуг в Российской Федерации, цели и ключевые направления де-
ятельности Банка России в области финансовых технологий, а также описание соответ-
ствующих мероприятий.

Мероприятия, предусмотренные Основными направлениями, способствуют реализа-
ции программы «Цифровая экономика Российской Федерации», утвержденной Прави-
тельством Российской Федерации в июле 2017 года.

Основные направления также учитывают положения и планы мероприятий, содержа-
щиеся в следующих документах:

•  Концепция долгосрочного социально-экономического развития Российской Федера-
ции до 2020 года;

•  Концепция развития механизмов предоставления государственных и муниципальных 
услуг в электронном виде, или Системный проект электронного правительства Рос-
сийской Федерации;"
6,312.0,Какие основные направления развития финансовых технологий на период 2018-2020 годов указаны в тексте?,"На период 2018-2020 годов основными направлениями развития финансовых технологий являются: Big Data и анализ данных, мобильные технологии, искусственный интеллект, роботизация, биометрия, распределенные реестры, облачные технологии.",0.0,"•  Государственная программа Российской Федерации «Информационное общество 
(2011 – 2020 годы)»;

•  Стратегия развития страховой деятельности в Российской Федерации до 2020 года;
•  Стратегия развития информационного общества в  Российской Федерации 

на 2017 – 2030 годы;
•  Стратегия экономической безопасности Российской Федерации на  период 

до 2030 года;
•  Основные направления развития финансового рынка Российской Федерации на пе-

риод 2016 – 2018 годов;
•  Стратегия ИТ Банка России на 2016 – 2020 годы.



ОснОвные направления  
развития финансОвых технОлОгий  

на периОд 2018 – 2020 гОдОв
3

На  сегодняшний день на  финансовом 
рынке Российской Федерации наблюдает-
ся ряд трендов, формирующих предпосыл-
ки для стимулирования и развития финан-
совых технологий, в числе которых:

•  низкая маржинальность банковских 
услуг;

•  преобразование участниками финан-
сового рынка своих бизнес-моделей 
и стремление к созданию экосистем;

•  увеличение проникновения финансо-
вых услуг за счет их цифровизации;

•  потеря банками монополии на  оказа-
ние традиционных (платежных и иных) 
услуг, а также приобретение нефинан-
совыми организациями значительной 
роли на финансовом рынке;

•  стремление банков к партнерствам cо 
стартапами и  технологическими ком-
паниями.

В соответствии с результатами исследо-
ваний наиболее перспективными финансо-
выми технологиями являются:

•  Big Data и анализ данных;
•  мобильные технологии;
•  искусственный интеллект;
•  роботизация;
•  биометрия;
•  распределенные реестры;
•  облачные технологии.
Развитие финансовых технологий мо-

дернизирует традиционные направления 
оказания финансовых и  иных услуг, в  ко-
торых появляются инновационные продук-
ты и сервисы для конечных потребителей. 
Наиболее сильно этот тренд наблюдается 
в следующих областях1:

•  платежи и переводы: сервисы онлайн-
платежей, сервисы онлайн-переводов,"
7,312.0,Какие цели ставит перед собой Банк России в рамках основных направлений развития финансовых технологий?,"Банк России ставит перед собой цели: содействие развитию конкуренции на финансовом рынке, повышение доступности, качества и ассортимента финансовых услуг, снижение рисков и издержек в финансовой сфере, повышение уровня конкурентоспособности российских технологий.",0.0,"1. предпОсылки и тренды

создающие благоприятные условия для 
развития инноваций, такие как Индия, Ки-
тай, Великобритания, Швеция, Сингапур 
и  другие, становятся привлекательными 
для инвестиций в высокотехнологичные от-
расли, что в свою очередь позитивно ска-
зывается на экономическом росте страны.

Для эффективного и  безопасного раз-
вития и функционирования цифрового фи-
нансового пространства необходима реа-
лизация скоординированных мероприятий 
на  уровне всех его участников, а  также 
своевременное пропорциональное регули-

рование, которое будет, с  одной стороны, 
поддерживать стабильность финансовой 
системы и защищать права потребителей, 
а с другой – содействовать развитию и вне-
дрению цифровых инноваций.

Важно подчеркнуть, что с  развити-
ем цифровых технологий возникают и  ри-
ски, связанные с  ростом киберугроз, тре-
бующих оперативного и  своевременного 
мониторинга, обнаружения, оценки и  раз-
работки соответствующих мер по  их  пре-
дотвращению либо минимизации их  воз-
можных последствий.



ОснОвные направления  
развития финансОвых технОлОгий  

на периОд 2018 – 2020 гОдОв
5

В  рамках Основных направлений Банк 
России ставит перед собой следующие 
цели:

•  содействие развитию конкуренции 
на финансовом рынке;

•  повышение доступности, качества 
и ассортимента финансовых услуг;

•  снижение рисков и издержек в финан-
совой сфере;

•  повышение уровня конкурентоспособ-
ности российских технологий.

В  соответствии с  поставленными це-
лями, а  также текущими экономическими 
и  технологическими трендами определе-
ны ключевые направления и  задачи Бан-
ка России в области развития финансовых 
технологий:

1. Правовое регулирование.
2. Развитие цифровых технологий 

на финансовом рынке.
2.1. Исследование, анализ и разработ-

ка предложений по  применению 
финансовых технологий:

2.1.1. RegTech.
2.1.2. SupTech.
2.1.3. Big Data и Smart Data.
2.1.4. Мобильные технологии.
2.1.5. Искусственный интеллект, робо-"
8,312.0,Какие технологии включены в основные направления развития финансовых технологий на период 2018-2020 годов?,"Основные направления развития финансовых технологий на период 2018-2020 годов включают в себя биометрию, технологию распределенных реестров, открытые интерфейсы (Open API), платформу для удаленной идентификации, платформу быстрых платежей, платформу-маркетплейс для финансовых услуг и продуктов, платформу для регистрации финансовых сделок, перспективную платежную систему, национальную систему платежных карт, систему передачи финансовой информации, сквозной идентификатор клиента, платформу для облачных сервисов и платформу на основе технологии распределенных реестров.",0.0,"тизация и машинное обучение.
2.1.6. Биометрия.
2.1.7. Технология распределенных рее-

стров.
2.1.8. Открытые интерфейсы (Open 

API).
2.2. Создание и  развитие финансовой 

инфраструктуры:
2.2.1. Платформа для удаленной иден-

тификации.
2.2.2. Платформа быстрых платежей.
2.2.3. Платформа-маркетплейс для 

финансовых услуг и продуктов.

2. Цели и ОснОвные направления деятельнОсти 
Банка рОссии в ОБласти финансОвых 
технОлОгий

2.2.4. Платформа для регистрации фи-
нансовых сделок.

2.2.5. Перспективная платежная систе-
ма Банка России.

2.2.6. Национальная система платеж-
ных карт.

2.2.7. Система передачи финансовой 
информации.

2.2.8. Сквозной идентификатор клиен-
та.

2.2.9. Платформа для облачных серви-
сов.

2.2.10. Платформа на основе техноло-
гии распределенных реестров.

3. Переход на  электронное взаимодей-
ствие:

3.1. Расширение доступа финансовых 
организаций к  государственным 
информационным ресурсам.

3.2. Электронный документооборот 
между Банком России, участника-
ми финансового рынка, физиче-
скими и юридическими лицами.

3.3. Хранение и использование юриди-
чески значимых электронных доку-
ментов, цифровизация документов 
на бумажном носителе.

3.4. Расширение использования про-
стой и усиленной квалифицирован-
ных электронных подписей.

4. Создание регулятивной площадки 
Банка России.

5. Взаимодействие в  рамках Евразий-
ского экономического союза (ЕАЭС).

6. Обеспечение безопасности и  устой-
чивости при применении финансовых 
технологий.

7. Развитие кадров в  сфере финансо-
вых технологий.



6
ОснОвные направления  
развития финансОвых технОлОгий  
на периОд 2018 – 2020 гОдОв

3. ОснОвные направления

1. правовое регулирование"
9,312.0,Какие основные направления регулирования финансовых технологий предусматривает Банк России?,"Банк России предусматривает создание специальной регулятивной площадки для апробации инновационных финансовых технологий, продуктов и услуг, а также разработку изменений в законодательстве, включая определение статуса цифровых технологий и установление требований к майнингу.",0.0,"3. ОснОвные направления

1. правовое регулирование

Реализация системного подхода к  ре-
гулированию в  сфере развития финансо-
вых технологий предполагает создание не-
обходимых условий для их  применения, 
в  том числе за  счет повышения гибкости 
и адаптивности регулирования; совершен-
ствование инструментов защиты прав по-
требителей цифровых финансовых услуг, 
а  также требований по  информационной 
безопасности, защите персональных дан-
ных и иных необходимых мер.

В  целях обеспечения условий для раз-
вития инноваций на  финансовом рынке 
и  перехода к  цифровой экономике в  Рос-
сийской Федерации в Банке России будет 
создана специальная регулятивная пло-
щадка для апробации инновационных фи-
нансовых технологий, продуктов и услуг.

Регулятивная площадка Банка России 
обеспечит быструю проверку гипотез о по-
ложительных эффектах для финансового 
рынка и потребителей от внедрения инно-
вационных финансовых технологий и  сер-
висов, анализ рисков и  формирование 
моделей угроз, возникающих при их  ис-
пользовании; формирование предложений 
по  изменению действующего нормативно-
правового регулирования.

Реализация данного механизма пред-
усмотрена перечнем поручений Президен-
та Российской Федерации от  21.10.2017 
№ Пр-2132.

Одновременно Банк России совместно 
с  заинтересованными государственными 
органами принимает участие в реализации 
мероприятий, которые также содержатся 
в указанном перечне поручений Президен-
та Российской Федерации и  предусматри-
вают в срок до 1 июля 2018 г. проработку 
и внесение в законодательство Российской 
Федерации следующих изменений:

•  определение статуса цифровых тех-
нологий, применяемых в  финансовой 
сфере, и их понятий, исходя из обяза-
тельности руб ля в качестве единствен-
ного законного платежного средства 
в Российской Федерации;

•  установление требований к  организа-
ции и осуществлению майнинга;"
